"","x"
"1988",15.85
"1989",19.85
"1990",34.52
"1991",9.65
"1992",13
"1993",42.87
"1994",11
"1995",3
"1996",15
"1997",40
"1998",60
"1999",24
"2000",27
"2001",32
"2002",25.34
"2003",21
"2004",41
"2005",22
"2006",22.5
"2007",10
"2008",33
"2009",8
"2010",31
"2011",26.7
"2012",11.89
"2013",25
"2014",22
"2015",15.8
"2016",48
"2017",40.08
"2018",9.84
"2019",27
"2020",25
"2021",9
"2022",28.5
"2023",14
"2024",12
"2025",18
"2026",19
"2027",26
"2028",25.64
"2029",10.5
"2030",13.5
"2031",28.57
"2032",15.65
"2033",21.5
"2034",24
"2035",32
"2036",60
"2037",33.07
"2038",15.5
"2039",18
"2040",46
"2041",13
"2042",18
"2043",15
"2044",46
"2045",11
"2046",11.5
"2047",96.15
"2048",90.14
"2049",17.5
"2050",13
"2051",21
"2052",18.5
"2053",13.6
"2054",20
"2055",16
"2056",15.46
"2057",11
"2058",41
"2059",28.74
"2060",10
"2061",22
"2062",17.25
"2063",14.5
"2064",21
"2065",22
"2066",25
"2067",22
"2068",12.5
"2069",24
"2070",15.78
"2071",35
"2072",17
"2073",22.25
"2074",23.55
"2075",14
"2076",13
"2077",15.36
"2078",10.45
"2079",40
"2080",10.5
"2081",45
"2082",10
"2083",19.2
"2084",9.25
"2085",18
"2086",30
"2087",12
"2088",52
"2089",2.76
"2090",15.85
"2091",16
"2092",27
"2093",42
"2094",17
"2095",16.99
"2096",14.25
"2097",10.19
"2098",53
"2099",17.75
"2100",27
"2101",20
"2102",25
"2103",32
"2104",22
"2105",13.47
"2106",29
"2107",20
"2108",15
"2109",15
"2110",45
"2111",16
"2112",56
"2113",16.25
"2114",16
"2115",13.68
"2116",17.5
"2117",10
"2118",15
"2119",11.5
"2120",25
"2121",12
"2122",43
"2123",38
"2124",15
"2125",15
"2126",15
"2127",8.5
"2128",10
"2129",36
"2130",55.28
"2131",19.5
"2132",16.25
"2133",16.42
"2134",26.9
"2135",21
"2136",17
"2137",17.2
"2138",18.69
"2139",15
"2140",29
"2141",13
"2142",15.3
"2143",17
"2144",14.5
"2145",23.5
"2146",11
"2147",13
"2148",15
"2149",15
"2150",40
"2151",33
"2152",23.5
"2153",96.15
"2154",15.5
"2155",15
"2156",26
"2157",15
"2158",30
"2159",11
"2160",12
"2161",31
"2162",17
"2163",16
"2164",8.59
"2165",11
"2166",11
"2167",9
"2168",13.5
"2169",15
"2170",12
"2171",8.25
"2172",10
"2173",11.8
"2174",14.5
